0,1,2,3
0.1,0.1,0.6981818,0.6981818
0.1,0.1,0.4936891,0.4936891
0.1,0.1,0.9873782,0.9873782
0.3,0.1,0.6981818,0.6981818
0.3,0.1,0.4936891,0.4936891
0.3,0.1,0.9873782,0.9873782
0.5,0.1,0.6981818,0.6981818
0.5,0.1,0.4936891,0.4936891
0.5,0.1,0.9873782,0.9873782
0.7,0.1,0.6981818,0.6981818
0.7,0.1,0.4936891,0.4936891
0.7,0.1,0.9873782,0.9873782
0.9,0.1,0.6981818,0.6981818
0.9,0.1,0.4936891,0.4936891
0.9,0.1,0.9873782,0.9873782
0.1,0.3,0.6981818,0.6981818
0.1,0.3,0.4936891,0.4936891
0.1,0.3,0.9873782,0.9873782
0.3,0.3,0.6981818,0.6981818
0.3,0.3,0.4936891,0.4936891
0.3,0.3,0.9873782,0.9873782
0.5,0.3,0.6981818,0.6981818
0.5,0.3,0.4936891,0.4936891
0.5,0.3,0.9873782,0.9873782
0.7,0.3,0.6981818,0.6981818
0.7,0.3,0.4936891,0.4936891
0.7,0.3,0.9873782,0.9873782
0.9,0.3,0.6981818,0.6981818
0.9,0.3,0.4936891,0.4936891
0.9,0.3,0.9873782,0.9873782
0.1,0.5,0.6981818,0.6981818
0.1,0.5,0.4936891,0.4936891
0.1,0.5,0.9873782,0.9873782
0.3,0.5,0.6981818,0.6981818
0.3,0.5,0.4936891,0.4936891
0.3,0.5,0.9873782,0.9873782
0.5,0.5,0.6981818,0.6981818
0.5,0.5,0.4936891,0.4936891
0.5,0.5,0.9873782,0.9873782
0.7,0.5,0.6981818,0.6981818
0.7,0.5,0.4936891,0.4936891
0.7,0.5,0.9873782,0.9873782
0.9,0.5,0.6981818,0.6981818
0.9,0.5,0.4936891,0.4936891
0.9,0.5,0.9873782,0.9873782
0.1,0.7,0.6981818,0.6981818
0.1,0.7,0.4936891,0.4936891
0.1,0.7,0.9873782,0.9873782
0.3,0.7,0.6981818,0.6981818
0.3,0.7,0.4936891,0.4936891
0.3,0.7,0.9873782,0.9873782
0.5,0.7,0.6981818,0.6981818
0.5,0.7,0.4936891,0.4936891
0.5,0.7,0.9873782,0.9873782
0.7,0.7,0.6981818,0.6981818
0.7,0.7,0.4936891,0.4936891
0.7,0.7,0.9873782,0.9873782
0.9,0.7,0.6981818,0.6981818
0.9,0.7,0.4936891,0.4936891
0.9,0.7,0.9873782,0.9873782
0.1,0.9,0.6981818,0.6981818
0.1,0.9,0.4936891,0.4936891
0.1,0.9,0.9873782,0.9873782
0.3,0.9,0.6981818,0.6981818
0.3,0.9,0.4936891,0.4936891
0.3,0.9,0.9873782,0.9873782
0.5,0.9,0.6981818,0.6981818
0.5,0.9,0.4936891,0.4936891
0.5,0.9,0.9873782,0.9873782
0.7,0.9,0.6981818,0.6981818
0.7,0.9,0.4936891,0.4936891
0.7,0.9,0.9873782,0.9873782
0.9,0.9,0.6981818,0.6981818
0.9,0.9,0.4936891,0.4936891
0.9,0.9,0.9873782,0.9873782
